trade_id,action,score,market_regime,profit,TrendAgent,StructureAgent,SmartMoneyAgent,VolatilityAgent,PullbackAgent,TrendAgent_used,StructureAgent_used,SmartMoneyAgent_used,VolatilityAgent_used,PullbackAgent_used,bos_signal,choch_signal,fvg_signal,chan_trend,divergence
2456,SHORT,80.0,SIDEWAYS,178.24740401237477,LONG,SHORT,SHORT,HOLD,HOLD,False,True,True,False,False,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2569,LONG,100.0,SIDEWAYS,375.48477476581917,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2721,SHORT,58.4,SIDEWAYS,-93.49687591927126,SHORT,SHORT,HOLD,LONG,SHORT,True,True,False,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
2740,LONG,99.0,SIDEWAYS,68.39543256126215,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2845,LONG,100.0,SIDEWAYS,-161.28139542707154,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2859,SHORT,54.4,SIDEWAYS,-13.914899727652164,SHORT,SHORT,HOLD,LONG,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2873,LONG,73.6,SIDEWAYS,372.16662675056796,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
3021,SHORT,64.0,SIDEWAYS,4.311857419643482,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,BEARISH,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3085,LONG,70.4,SIDEWAYS,-174.18962694468507,LONG,LONG,HOLD,HOLD,LONG,True,True,False,False,True,,,BULLISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3115,SHORT,100.0,SIDEWAYS,818.2877092640116,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
