time,action,bull_score,bear_score,gap,bos,choch,sweep,regime,confidence,pnl,balance
4012,LONG,50.400000000000006,0.0,50.400000000000006,,,,SIDEWAYS,0.44099999999999995,-68.97041171039506,17158.63269131767
4027,SHORT,0.0,88.0,88.0,BEARISH,,,SIDEWAYS,0.88,-493.87769004954345,16664.755001268128
4088,SHORT,28.749999999999993,60.0,31.250000000000007,BEARISH,,,SIDEWAYS,0.6,36.70141523524642,16701.456416503373
4103,SHORT,23.749999999999993,50.0,26.250000000000007,BEARISH,,,SIDEWAYS,0.5,-47.04763931159898,16654.408777191773
4110,SHORT,13.749999999999993,85.0,71.25,BEARISH,,,SIDEWAYS,0.85,-66.67113910715752,16587.737638084614
4182,SHORT,19.0,48.0,29.0,,,,SIDEWAYS,0.42,4.382431582120414,16592.120069666737
4234,LONG,59.0,8.0,51.0,,,SWEEP_HIGH,SIDEWAYS,0.518,492.266747386189,17084.386817052924
4353,SHORT,0.0,47.0,47.0,,,,SIDEWAYS,0.413,-51.37352028210791,17033.013296770816
4367,SHORT,16.0,47.0,31.0,,,,SIDEWAYS,0.413,-31.441970782597444,17001.571325988218
4371,LONG,59.0,8.0,51.0,,,,SIDEWAYS,0.518,-147.7466588947224,16853.824667093497
4398,SHORT,0.0,78.75,78.75,BEARISH,,,SIDEWAYS,0.79,366.97578189536057,17220.80044898886
4506,LONG,98.75,0.0,98.75,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.99,-451.24710493163104,16769.55334405723
4562,SHORT,12.800000000000006,50.800000000000004,38.0,,,,SIDEWAYS,0.44799999999999995,-94.09546741823945,16675.45787663899
4611,SHORT,0.0,68.80000000000003,68.80000000000003,,,,SIDEWAYS,0.602,-9.332503168219919,16666.125373470768
4619,SHORT,0.0,82.0,82.0,BEARISH,,,SIDEWAYS,0.82,31.103252215014415,16697.22862568578
4623,SHORT,8.0,46.6,38.6,,,SWEEP_LOW,SIDEWAYS,0.40599999999999997,368.30673650658656,17065.535362192368
4791,SHORT,36.99999999999999,47.20000000000002,10.200000000000024,,,SWEEP_LOW,SIDEWAYS,0.413,3.6168938703435503,17069.152256062713
4803,SHORT,4.999999999999995,51.20000000000002,46.200000000000024,,,,SIDEWAYS,0.44799999999999995,-38.85644107894043,17030.295814983772
4822,SHORT,24.999999999999996,60.800000000000026,35.800000000000026,,,,SIDEWAYS,0.5319999999999999,26.582312987332816,17056.878127971104
4839,SHORT,20.0,68.25,48.25,BEARISH,,,SIDEWAYS,0.68,-39.10857325377204,17017.76955471733
4884,LONG,73.8,8.0,65.8,,,,SIDEWAYS,0.644,-91.90764388488029,16925.861910832453
4908,SHORT,10.75,100.0,89.25,BEARISH,,,SIDEWAYS,1.0,102.04433461688883,17027.906245449343
4974,SHORT,4.999999999999995,47.20000000000002,42.200000000000024,,,,SIDEWAYS,0.413,-2.492241987715101,17025.41400346163
4976,SHORT,4.999999999999995,47.20000000000002,42.200000000000024,,,,SIDEWAYS,0.413,-27.819822044028715,16997.5941814176
4979,LONG,52.2,24.0,28.200000000000003,,,SWEEP_HIGH,SIDEWAYS,0.45499999999999996,-112.56790882589885,16885.026272591702
5008,LONG,51.80000000000001,16.999999999999996,34.80000000000001,,,SWEEP_HIGH,SIDEWAYS,0.45499999999999996,-32.79770286178143,16852.22856972992
5014,SHORT,40.75,73.25,32.5,BEARISH,,,SIDEWAYS,0.73,-456.06997513891275,16396.15859459101
5040,LONG,47.20000000000002,3.9999999999999947,43.200000000000024,,,,SIDEWAYS,0.413,-8.68913235845223,16387.469462232555
5047,SHORT,4.0,51.2,47.2,,,,SIDEWAYS,0.44799999999999995,30.40992828058149,16417.879390513135
5100,SHORT,15.999999999999995,69.60000000000002,53.60000000000003,,,,SIDEWAYS,0.609,-61.22333214739866,16356.656058365736
